,100 CV,150 CV,200 CV,250 CV,300 CV,350 CV,400 CV,450 CV,500 CV,550 CV,600 CV,650 CV,700 CV
100 CV,49.92% Winrate,37.71% Winrate,29.99% Winrate,20.5% Winrate,15.22% Winrate,9.04% Winrate,6.04% Winrate,3.23% Winrate,1.98% Winrate,0.96% Winrate,0.52% Winrate,0.25% Winrate,0.11% Winrate
150 CV,61.75% Winrate,62.08% Winrate,54.34% Winrate,45.85% Winrate,41.84% Winrate,33.92% Winrate,26.78% Winrate,23.64% Winrate,17.47% Winrate,12.92% Winrate,10.8% Winrate,7.48% Winrate,4.99% Winrate
200 CV,69.5% Winrate,58.0% Winrate,58.24% Winrate,50.02% Winrate,45.72% Winrate,41.88% Winrate,37.86% Winrate,30.13% Winrate,26.79% Winrate,23.5% Winrate,20.43% Winrate,14.99% Winrate,12.7% Winrate
250 CV,79.26% Winrate,65.97% Winrate,57.91% Winrate,58.08% Winrate,54.03% Winrate,49.87% Winrate,41.44% Winrate,42.0% Winrate,37.83% Winrate,30.36% Winrate,30.39% Winrate,26.69% Winrate,23.19% Winrate
300 CV,84.74% Winrate,69.79% Winrate,62.1% Winrate,54.09% Winrate,54.04% Winrate,50.13% Winrate,45.9% Winrate,41.61% Winrate,37.93% Winrate,33.89% Winrate,33.89% Winrate,30.5% Winrate,26.71% Winrate
350 CV,90.9% Winrate,76.45% Winrate,66.01% Winrate,58.03% Winrate,54.24% Winrate,54.04% Winrate,49.9% Winrate,45.67% Winrate,41.61% Winrate,42.13% Winrate,37.77% Winrate,34.21% Winrate,34.15% Winrate
400 CV,93.95% Winrate,82.59% Winrate,69.69% Winrate,66.05% Winrate,58.01% Winrate,53.75% Winrate,54.24% Winrate,49.95% Winrate,45.94% Winrate,45.62% Winrate,42.22% Winrate,38.13% Winrate,37.77% Winrate
450 CV,96.77% Winrate,85.0% Winrate,76.41% Winrate,66.23% Winrate,62.26% Winrate,58.02% Winrate,53.99% Winrate,54.22% Winrate,50.14% Winrate,45.91% Winrate,45.67% Winrate,41.75% Winrate,41.83% Winrate
500 CV,97.98% Winrate,89.33% Winrate,79.52% Winrate,69.92% Winrate,65.91% Winrate,62.11% Winrate,58.06% Winrate,54.16% Winrate,54.29% Winrate,50.07% Winrate,49.9% Winrate,45.66% Winrate,45.91% Winrate
550 CV,99.06% Winrate,92.53% Winrate,82.26% Winrate,76.44% Winrate,69.77% Winrate,62.31% Winrate,57.94% Winrate,58.12% Winrate,53.94% Winrate,54.33% Winrate,49.99% Winrate,49.91% Winrate,45.84% Winrate
600 CV,99.47% Winrate,93.74% Winrate,84.94% Winrate,76.55% Winrate,69.77% Winrate,66.02% Winrate,62.23% Winrate,58.6% Winrate,53.94% Winrate,53.97% Winrate,54.03% Winrate,50.1% Winrate,50.1% Winrate
650 CV,99.79% Winrate,95.97% Winrate,89.26% Winrate,79.49% Winrate,73.24% Winrate,69.92% Winrate,66.23% Winrate,62.24% Winrate,58.29% Winrate,54.2% Winrate,53.96% Winrate,53.93% Winrate,50.02% Winrate
700 CV,99.9% Winrate,97.34% Winrate,90.86% Winrate,82.47% Winrate,76.53% Winrate,69.82% Winrate,66.0% Winrate,61.87% Winrate,58.4% Winrate,58.21% Winrate,54.17% Winrate,54.15% Winrate,54.04% Winrate
