,100 CV // 80 RT,100 CV // 50 RT,100 CV // 0 RT,200 CV // 80 RT,200 CV // 50 RT,200 CV // 0 RT,300 CV // 80 RT,300 CV // 50 RT,300 CV // 0 RT,400 CV // 80 RT,400 CV // 50 RT,400 CV // 0 RT,500 CV // 80 RT,500 CV // 50 RT,500 CV // 0 RT,600 CV // 80 RT,600 CV // 50 RT,600 CV // 0 RT,700 CV // 80 RT,700 CV // 50 RT,700 CV // 0 RT
100 CV // 80 RT,5% Casualties,7% Casualties,8% Casualties,5% Casualties,7% Casualties,8% Casualties,5% Casualties,7% Casualties,8% Casualties,6% Casualties,7% Casualties,7% Casualties,6% Casualties,7% Casualties,7% Casualties,6% Casualties,7% Casualties,7% Casualties,6% Casualties,7% Casualties,7% Casualties
100 CV // 50 RT,6% Casualties,9% Casualties,12% Casualties,7% Casualties,9% Casualties,12% Casualties,7% Casualties,10% Casualties,12% Casualties,8% Casualties,10% Casualties,12% Casualties,9% Casualties,11% Casualties,11% Casualties,9% Casualties,11% Casualties,11% Casualties,10% Casualties,11% Casualties,11% Casualties
100 CV // 0 RT,8% Casualties,15% Casualties,25% Casualties,11% Casualties,20% Casualties,29% Casualties,15% Casualties,24% Casualties,33% Casualties,19% Casualties,28% Casualties,33% Casualties,22% Casualties,30% Casualties,33% Casualties,25% Casualties,31% Casualties,33% Casualties,27% Casualties,31% Casualties,32% Casualties
200 CV // 80 RT,3% Casualties,5% Casualties,6% Casualties,3% Casualties,5% Casualties,6% Casualties,4% Casualties,5% Casualties,6% Casualties,5% Casualties,7% Casualties,8% Casualties,5% Casualties,7% Casualties,8% Casualties,5% Casualties,7% Casualties,8% Casualties,6% Casualties,7% Casualties,8% Casualties
200 CV // 50 RT,4% Casualties,6% Casualties,8% Casualties,4% Casualties,6% Casualties,8% Casualties,4% Casualties,6% Casualties,9% Casualties,6% Casualties,9% Casualties,12% Casualties,6% Casualties,9% Casualties,12% Casualties,7% Casualties,9% Casualties,12% Casualties,7% Casualties,10% Casualties,12% Casualties
200 CV // 0 RT,5% Casualties,8% Casualties,14% Casualties,5% Casualties,8% Casualties,15% Casualties,6% Casualties,10% Casualties,17% Casualties,8% Casualties,15% Casualties,25% Casualties,10% Casualties,18% Casualties,28% Casualties,11% Casualties,19% Casualties,29% Casualties,13% Casualties,22% Casualties,31% Casualties
300 CV // 80 RT,2% Casualties,3% Casualties,4% Casualties,4% Casualties,5% Casualties,7% Casualties,4% Casualties,5% Casualties,7% Casualties,4% Casualties,6% Casualties,7% Casualties,5% Casualties,7% Casualties,8% Casualties,5% Casualties,7% Casualties,8% Casualties,5% Casualties,7% Casualties,8% Casualties
300 CV // 50 RT,2% Casualties,3% Casualties,5% Casualties,4% Casualties,7% Casualties,10% Casualties,4% Casualties,7% Casualties,10% Casualties,5% Casualties,7% Casualties,10% Casualties,6% Casualties,9% Casualties,12% Casualties,6% Casualties,9% Casualties,12% Casualties,6% Casualties,9% Casualties,12% Casualties
300 CV // 0 RT,2% Casualties,4% Casualties,7% Casualties,6% Casualties,11% Casualties,18% Casualties,6% Casualties,10% Casualties,18% Casualties,7% Casualties,12% Casualties,20% Casualties,9% Casualties,16% Casualties,26% Casualties,9% Casualties,17% Casualties,27% Casualties,11% Casualties,19% Casualties,29% Casualties
400 CV // 80 RT,1% Casualties,2% Casualties,4% Casualties,3% Casualties,5% Casualties,6% Casualties,4% Casualties,6% Casualties,7% Casualties,4% Casualties,6% Casualties,7% Casualties,5% Casualties,7% Casualties,8% Casualties,5% Casualties,7% Casualties,8% Casualties,5% Casualties,7% Casualties,8% Casualties
400 CV // 50 RT,1% Casualties,3% Casualties,4% Casualties,4% Casualties,6% Casualties,8% Casualties,5% Casualties,7% Casualties,10% Casualties,5% Casualties,7% Casualties,10% Casualties,6% Casualties,9% Casualties,12% Casualties,6% Casualties,9% Casualties,12% Casualties,6% Casualties,9% Casualties,12% Casualties
400 CV // 0 RT,2% Casualties,3% Casualties,5% Casualties,5% Casualties,8% Casualties,14% Casualties,7% Casualties,12% Casualties,20% Casualties,7% Casualties,12% Casualties,20% Casualties,8% Casualties,15% Casualties,25% Casualties,9% Casualties,16% Casualties,26% Casualties,10% Casualties,17% Casualties,27% Casualties
500 CV // 80 RT,1% Casualties,2% Casualties,3% Casualties,2% Casualties,3% Casualties,5% Casualties,4% Casualties,5% Casualties,7% Casualties,4% Casualties,6% Casualties,7% Casualties,4% Casualties,6% Casualties,7% Casualties,4% Casualties,6% Casualties,7% Casualties,5% Casualties,7% Casualties,8% Casualties
500 CV // 50 RT,1% Casualties,2% Casualties,4% Casualties,3% Casualties,4% Casualties,6% Casualties,4% Casualties,6% Casualties,9% Casualties,5% Casualties,7% Casualties,10% Casualties,5% Casualties,7% Casualties,10% Casualties,5% Casualties,8% Casualties,11% Casualties,6% Casualties,9% Casualties,12% Casualties
500 CV // 0 RT,1% Casualties,2% Casualties,4% Casualties,3% Casualties,5% Casualties,10% Casualties,5% Casualties,9% Casualties,16% Casualties,7% Casualties,12% Casualties,20% Casualties,7% Casualties,12% Casualties,20% Casualties,7% Casualties,12% Casualties,21% Casualties,8% Casualties,15% Casualties,25% Casualties
600 CV // 80 RT,1% Casualties,2% Casualties,3% Casualties,2% Casualties,3% Casualties,4% Casualties,3% Casualties,5% Casualties,6% Casualties,4% Casualties,5% Casualties,7% Casualties,5% Casualties,6% Casualties,8% Casualties,5% Casualties,6% Casualties,8% Casualties,5% Casualties,7% Casualties,8% Casualties
600 CV // 50 RT,1% Casualties,2% Casualties,3% Casualties,2% Casualties,3% Casualties,5% Casualties,4% Casualties,6% Casualties,8% Casualties,4% Casualties,7% Casualties,10% Casualties,5% Casualties,8% Casualties,11% Casualties,5% Casualties,8% Casualties,11% Casualties,6% Casualties,9% Casualties,12% Casualties
600 CV // 0 RT,1% Casualties,2% Casualties,3% Casualties,2% Casualties,4% Casualties,7% Casualties,5% Casualties,8% Casualties,14% Casualties,6% Casualties,10% Casualties,18% Casualties,7% Casualties,13% Casualties,22% Casualties,7% Casualties,13% Casualties,23% Casualties,8% Casualties,15% Casualties,25% Casualties
700 CV // 80 RT,1% Casualties,1% Casualties,3% Casualties,1% Casualties,3% Casualties,4% Casualties,3% Casualties,4% Casualties,5% Casualties,4% Casualties,5% Casualties,7% Casualties,4% Casualties,6% Casualties,7% Casualties,4% Casualties,6% Casualties,8% Casualties,5% Casualties,6% Casualties,8% Casualties
700 CV // 50 RT,1% Casualties,1% Casualties,3% Casualties,2% Casualties,3% Casualties,5% Casualties,3% Casualties,5% Casualties,7% Casualties,4% Casualties,6% Casualties,9% Casualties,5% Casualties,7% Casualties,10% Casualties,5% Casualties,8% Casualties,11% Casualties,5% Casualties,8% Casualties,11% Casualties
700 CV // 0 RT,1% Casualties,1% Casualties,3% Casualties,2% Casualties,3% Casualties,6% Casualties,4% Casualties,6% Casualties,11% Casualties,5% Casualties,9% Casualties,16% Casualties,7% Casualties,12% Casualties,20% Casualties,7% Casualties,13% Casualties,22% Casualties,8% Casualties,13% Casualties,22% Casualties
