,100 CV // 80 RT,100 CV // 50 RT,100 CV // 0 RT,200 CV // 80 RT,200 CV // 50 RT,200 CV // 0 RT,300 CV // 80 RT,300 CV // 50 RT,300 CV // 0 RT,400 CV // 80 RT,400 CV // 50 RT,400 CV // 0 RT,500 CV // 80 RT,500 CV // 50 RT,500 CV // 0 RT,600 CV // 80 RT,600 CV // 50 RT,600 CV // 0 RT,700 CV // 80 RT,700 CV // 50 RT,700 CV // 0 RT
100 CV // 80 RT,50.14% Winrate,28.9% Winrate,11.98% Winrate,40.13% Winrate,19.94% Winrate,5.71% Winrate,31.79% Winrate,12.21% Winrate,2.23% Winrate,22.87% Winrate,7.16% Winrate,0.84% Winrate,15.92% Winrate,3.5% Winrate,0.18% Winrate,11.21% Winrate,1.7% Winrate,0.1% Winrate,6.76% Winrate,0.79% Winrate,0.0% Winrate
100 CV // 50 RT,70.29% Winrate,50.05% Winrate,25.61% Winrate,58.21% Winrate,35.26% Winrate,13.11% Winrate,47.17% Winrate,22.43% Winrate,6.16% Winrate,34.92% Winrate,13.34% Winrate,2.13% Winrate,24.62% Winrate,6.88% Winrate,0.6% Winrate,16.81% Winrate,3.2% Winrate,0.1% Winrate,11.1% Winrate,1.5% Winrate,0.02% Winrate
100 CV // 0 RT,88.83% Winrate,74.23% Winrate,49.85% Winrate,79.24% Winrate,58.32% Winrate,30.43% Winrate,67.2% Winrate,41.59% Winrate,14.85% Winrate,52.97% Winrate,25.43% Winrate,6.32% Winrate,39.41% Winrate,14.45% Winrate,1.8% Winrate,27.66% Winrate,7.05% Winrate,0.28% Winrate,17.78% Winrate,3.12% Winrate,0.08% Winrate
200 CV // 80 RT,59.87% Winrate,41.18% Winrate,20.1% Winrate,59.95% Winrate,41.6% Winrate,19.76% Winrate,52.84% Winrate,34.11% Winrate,14.9% Winrate,50.65% Winrate,30.21% Winrate,11.67% Winrate,43.88% Winrate,23.4% Winrate,7.84% Winrate,39.65% Winrate,20.38% Winrate,5.28% Winrate,33.77% Winrate,15.58% Winrate,3.26% Winrate
200 CV // 50 RT,80.24% Winrate,64.93% Winrate,41.97% Winrate,80.3% Winrate,64.3% Winrate,41.37% Winrate,75.28% Winrate,55.34% Winrate,31.53% Winrate,69.75% Winrate,50.03% Winrate,25.51% Winrate,63.4% Winrate,41.15% Winrate,16.6% Winrate,58.53% Winrate,35.25% Winrate,13.63% Winrate,52.48% Winrate,27.52% Winrate,8.13% Winrate
200 CV // 0 RT,94.45% Winrate,87.14% Winrate,70.44% Winrate,94.43% Winrate,86.52% Winrate,69.24% Winrate,91.34% Winrate,79.97% Winrate,59.27% Winrate,89.05% Winrate,75.22% Winrate,49.7% Winrate,83.16% Winrate,65.41% Winrate,37.15% Winrate,79.79% Winrate,59.34% Winrate,30.51% Winrate,72.65% Winrate,48.6% Winrate,21.15% Winrate
300 CV // 80 RT,69.52% Winrate,52.2% Winrate,32.57% Winrate,55.22% Winrate,35.89% Winrate,16.14% Winrate,55.26% Winrate,35.72% Winrate,16.56% Winrate,51.37% Winrate,32.64% Winrate,12.97% Winrate,47.59% Winrate,27.57% Winrate,10.15% Winrate,45.03% Winrate,25.33% Winrate,8.42% Winrate,42.23% Winrate,21.96% Winrate,6.35% Winrate
300 CV // 50 RT,87.62% Winrate,77.16% Winrate,58.84% Winrate,76.92% Winrate,58.91% Winrate,35.34% Winrate,76.32% Winrate,59.42% Winrate,34.27% Winrate,72.38% Winrate,52.45% Winrate,28.04% Winrate,68.43% Winrate,46.26% Winrate,22.84% Winrate,65.73% Winrate,45.14% Winrate,20.39% Winrate,60.09% Winrate,38.08% Winrate,15.48% Winrate
300 CV // 0 RT,97.81% Winrate,93.95% Winrate,84.39% Winrate,92.28% Winrate,82.37% Winrate,62.41% Winrate,92.93% Winrate,82.46% Winrate,61.73% Winrate,89.84% Winrate,77.9% Winrate,54.48% Winrate,86.4% Winrate,71.43% Winrate,46.38% Winrate,85.3% Winrate,69.25% Winrate,42.24% Winrate,81.66% Winrate,61.97% Winrate,33.86% Winrate
400 CV // 80 RT,77.44% Winrate,65.39% Winrate,46.81% Winrate,60.2% Winrate,41.06% Winrate,20.04% Winrate,53.05% Winrate,34.23% Winrate,14.6% Winrate,53.34% Winrate,34.27% Winrate,14.58% Winrate,49.67% Winrate,30.2% Winrate,10.82% Winrate,48.15% Winrate,27.57% Winrate,9.98% Winrate,46.71% Winrate,24.82% Winrate,8.56% Winrate
400 CV // 50 RT,93.09% Winrate,87.31% Winrate,74.77% Winrate,80.55% Winrate,63.59% Winrate,41.19% Winrate,74.5% Winrate,56.01% Winrate,30.76% Winrate,74.6% Winrate,55.32% Winrate,31.41% Winrate,70.81% Winrate,50.27% Winrate,25.93% Winrate,68.49% Winrate,47.78% Winrate,22.37% Winrate,66.32% Winrate,44.45% Winrate,19.75% Winrate
400 CV // 0 RT,99.23% Winrate,97.82% Winrate,93.97% Winrate,94.85% Winrate,86.66% Winrate,69.93% Winrate,91.33% Winrate,80.19% Winrate,58.77% Winrate,91.39% Winrate,78.82% Winrate,58.51% Winrate,89.05% Winrate,75.3% Winrate,49.88% Winrate,86.82% Winrate,71.9% Winrate,45.78% Winrate,84.33% Winrate,68.1% Winrate,42.41% Winrate
500 CV // 80 RT,84.2% Winrate,75.21% Winrate,60.19% Winrate,66.01% Winrate,48.26% Winrate,27.78% Winrate,57.79% Winrate,38.98% Winrate,18.12% Winrate,54.02% Winrate,33.91% Winrate,15.05% Winrate,53.78% Winrate,33.71% Winrate,14.27% Winrate,52.73% Winrate,31.67% Winrate,13.1% Winrate,49.64% Winrate,29.39% Winrate,11.87% Winrate
500 CV // 50 RT,96.54% Winrate,92.58% Winrate,85.31% Winrate,85.24% Winrate,72.6% Winrate,51.78% Winrate,77.97% Winrate,61.73% Winrate,37.96% Winrate,73.56% Winrate,55.76% Winrate,31.77% Winrate,74.42% Winrate,55.34% Winrate,31.28% Winrate,72.78% Winrate,53.36% Winrate,28.77% Winrate,70.11% Winrate,50.55% Winrate,25.35% Winrate
500 CV // 0 RT,99.76% Winrate,99.42% Winrate,98.09% Winrate,96.74% Winrate,91.2% Winrate,79.54% Winrate,93.43% Winrate,84.31% Winrate,66.01% Winrate,91.24% Winrate,79.89% Winrate,58.04% Winrate,91.34% Winrate,80.21% Winrate,57.95% Winrate,90.59% Winrate,78.72% Winrate,53.98% Winrate,88.79% Winrate,74.31% Winrate,49.81% Winrate
600 CV // 80 RT,89.65% Winrate,83.76% Winrate,72.86% Winrate,68.68% Winrate,53.04% Winrate,32.61% Winrate,60.03% Winrate,41.03% Winrate,20.27% Winrate,56.43% Winrate,36.54% Winrate,15.84% Winrate,52.18% Winrate,31.9% Winrate,13.52% Winrate,52.6% Winrate,31.1% Winrate,13.07% Winrate,49.81% Winrate,29.61% Winrate,11.53% Winrate
600 CV // 50 RT,98.18% Winrate,96.83% Winrate,92.97% Winrate,87.58% Winrate,77.17% Winrate,58.17% Winrate,79.95% Winrate,64.85% Winrate,42.71% Winrate,76.06% Winrate,58.78% Winrate,34.4% Winrate,73.15% Winrate,52.41% Winrate,27.98% Winrate,72.18% Winrate,53.15% Winrate,27.83% Winrate,70.31% Winrate,50.26% Winrate,26.21% Winrate
600 CV // 0 RT,99.92% Winrate,99.86% Winrate,99.53% Winrate,97.33% Winrate,94.48% Winrate,84.57% Winrate,94.34% Winrate,86.56% Winrate,69.26% Winrate,92.3% Winrate,82.55% Winrate,61.96% Winrate,90.0% Winrate,77.34% Winrate,54.11% Winrate,90.5% Winrate,77.02% Winrate,54.18% Winrate,88.17% Winrate,75.14% Winrate,50.02% Winrate
700 CV // 80 RT,92.7% Winrate,88.99% Winrate,82.18% Winrate,73.99% Winrate,60.84% Winrate,41.09% Winrate,63.28% Winrate,45.75% Winrate,24.46% Winrate,58.48% Winrate,39.21% Winrate,18.33% Winrate,54.64% Winrate,34.64% Winrate,15.07% Winrate,53.62% Winrate,32.08% Winrate,12.6% Winrate,52.05% Winrate,31.24% Winrate,13.38% Winrate
700 CV // 50 RT,99.3% Winrate,98.44% Winrate,97.31% Winrate,91.3% Winrate,83.76% Winrate,68.74% Winrate,83.45% Winrate,70.34% Winrate,48.81% Winrate,78.36% Winrate,61.7% Winrate,38.09% Winrate,74.36% Winrate,55.77% Winrate,32.09% Winrate,72.3% Winrate,53.61% Winrate,28.11% Winrate,72.13% Winrate,52.77% Winrate,28.22% Winrate
700 CV // 0 RT,99.98% Winrate,99.98% Winrate,99.88% Winrate,98.82% Winrate,96.95% Winrate,90.63% Winrate,95.95% Winrate,89.77% Winrate,76.97% Winrate,93.65% Winrate,84.65% Winrate,65.74% Winrate,91.32% Winrate,80.06% Winrate,58.11% Winrate,90.18% Winrate,78.13% Winrate,54.36% Winrate,89.74% Winrate,77.39% Winrate,53.65% Winrate
