,10 CV // 80 RT,10 CV // 50 RT,10 CV // 0 RT,30 CV // 80 RT,30 CV // 50 RT,30 CV // 0 RT,50 CV // 80 RT,50 CV // 50 RT,50 CV // 0 RT,70 CV // 80 RT,70 CV // 50 RT,70 CV // 0 RT,90 CV // 80 RT,90 CV // 50 RT,90 CV // 0 RT,110 CV // 80 RT,110 CV // 50 RT,110 CV // 0 RT,130 CV // 80 RT,130 CV // 50 RT,130 CV // 0 RT
10 CV // 80 RT,5% Casualties,7% Casualties,9% Casualties,6% Casualties,8% Casualties,9% Casualties,6% Casualties,8% Casualties,9% Casualties,7% Casualties,8% Casualties,9% Casualties,7% Casualties,8% Casualties,9% Casualties,5% Casualties,6% Casualties,6% Casualties,6% Casualties,6% Casualties,6% Casualties
10 CV // 50 RT,6% Casualties,9% Casualties,13% Casualties,7% Casualties,11% Casualties,14% Casualties,8% Casualties,11% Casualties,14% Casualties,9% Casualties,12% Casualties,14% Casualties,10% Casualties,13% Casualties,14% Casualties,10% Casualties,11% Casualties,11% Casualties,10% Casualties,11% Casualties,11% Casualties
10 CV // 0 RT,9% Casualties,18% Casualties,29% Casualties,13% Casualties,23% Casualties,36% Casualties,18% Casualties,30% Casualties,41% Casualties,23% Casualties,34% Casualties,43% Casualties,28% Casualties,38% Casualties,43% Casualties,31% Casualties,40% Casualties,42% Casualties,35% Casualties,40% Casualties,41% Casualties
30 CV // 80 RT,4% Casualties,5% Casualties,7% Casualties,4% Casualties,5% Casualties,7% Casualties,4% Casualties,5% Casualties,7% Casualties,4% Casualties,5% Casualties,7% Casualties,5% Casualties,7% Casualties,9% Casualties,4% Casualties,6% Casualties,7% Casualties,5% Casualties,6% Casualties,7% Casualties
30 CV // 50 RT,4% Casualties,6% Casualties,9% Casualties,4% Casualties,6% Casualties,9% Casualties,4% Casualties,6% Casualties,9% Casualties,5% Casualties,7% Casualties,10% Casualties,6% Casualties,9% Casualties,13% Casualties,6% Casualties,9% Casualties,12% Casualties,6% Casualties,9% Casualties,12% Casualties
30 CV // 0 RT,5% Casualties,9% Casualties,16% Casualties,5% Casualties,9% Casualties,16% Casualties,6% Casualties,11% Casualties,19% Casualties,7% Casualties,12% Casualties,21% Casualties,9% Casualties,17% Casualties,29% Casualties,11% Casualties,20% Casualties,32% Casualties,13% Casualties,22% Casualties,34% Casualties
50 CV // 80 RT,2% Casualties,3% Casualties,4% Casualties,5% Casualties,7% Casualties,8% Casualties,5% Casualties,7% Casualties,8% Casualties,5% Casualties,7% Casualties,8% Casualties,5% Casualties,7% Casualties,9% Casualties,4% Casualties,6% Casualties,7% Casualties,4% Casualties,6% Casualties,7% Casualties
50 CV // 50 RT,2% Casualties,3% Casualties,5% Casualties,5% Casualties,8% Casualties,11% Casualties,5% Casualties,8% Casualties,11% Casualties,5% Casualties,8% Casualties,11% Casualties,6% Casualties,9% Casualties,13% Casualties,6% Casualties,9% Casualties,12% Casualties,6% Casualties,9% Casualties,12% Casualties
50 CV // 0 RT,2% Casualties,4% Casualties,8% Casualties,7% Casualties,14% Casualties,24% Casualties,7% Casualties,14% Casualties,24% Casualties,8% Casualties,14% Casualties,25% Casualties,9% Casualties,18% Casualties,30% Casualties,11% Casualties,20% Casualties,32% Casualties,11% Casualties,20% Casualties,32% Casualties
70 CV // 80 RT,2% Casualties,3% Casualties,4% Casualties,4% Casualties,6% Casualties,7% Casualties,5% Casualties,7% Casualties,9% Casualties,5% Casualties,7% Casualties,9% Casualties,5% Casualties,7% Casualties,9% Casualties,4% Casualties,6% Casualties,7% Casualties,4% Casualties,6% Casualties,7% Casualties
