,10 CV // 0 RT,20 CV // 0 RT,30 CV // 0 RT,40 CV // 0 RT,50 CV // 0 RT,60 CV // 0 RT,70 CV // 0 RT,80 CV // 0 RT,90 CV // 0 RT,100 CV // 0 RT,110 CV // 0 RT,120 CV // 0 RT,130 CV // 0 RT
10 CV // 0 RT,49.8% Winrate,37.35% Winrate,30.72% Winrate,20.31% Winrate,14.84% Winrate,9.24% Winrate,6.63% Winrate,3.14% Winrate,2.01% Winrate,1.0% Winrate,0.56% Winrate,0.19% Winrate,0.12% Winrate
20 CV // 0 RT,61.78% Winrate,62.1% Winrate,55.06% Winrate,50.55% Winrate,46.29% Winrate,41.87% Winrate,33.85% Winrate,30.34% Winrate,26.08% Winrate,23.05% Winrate,17.51% Winrate,15.48% Winrate,13.47% Winrate
30 CV // 0 RT,69.45% Winrate,57.57% Winrate,57.74% Winrate,54.1% Winrate,49.3% Winrate,45.92% Winrate,41.92% Winrate,38.26% Winrate,37.88% Winrate,33.74% Winrate,29.96% Winrate,26.58% Winrate,23.8% Winrate
40 CV // 0 RT,79.77% Winrate,62.67% Winrate,53.84% Winrate,53.8% Winrate,49.91% Winrate,45.48% Winrate,45.82% Winrate,41.48% Winrate,37.62% Winrate,37.72% Winrate,32.87% Winrate,33.96% Winrate,30.29% Winrate
50 CV // 0 RT,84.77% Winrate,66.06% Winrate,58.18% Winrate,53.73% Winrate,53.78% Winrate,49.67% Winrate,49.35% Winrate,46.17% Winrate,46.41% Winrate,42.66% Winrate,37.65% Winrate,37.85% Winrate,37.77% Winrate
60 CV // 0 RT,90.87% Winrate,70.09% Winrate,62.08% Winrate,57.87% Winrate,53.88% Winrate,53.52% Winrate,50.67% Winrate,50.83% Winrate,46.87% Winrate,45.64% Winrate,41.29% Winrate,41.66% Winrate,41.34% Winrate
70 CV // 0 RT,94.15% Winrate,76.74% Winrate,66.4% Winrate,57.57% Winrate,53.97% Winrate,54.6% Winrate,54.66% Winrate,49.62% Winrate,49.15% Winrate,44.8% Winrate,45.63% Winrate,45.94% Winrate,42.4% Winrate
80 CV // 0 RT,96.91% Winrate,78.17% Winrate,69.97% Winrate,62.06% Winrate,58.48% Winrate,52.87% Winrate,54.14% Winrate,53.67% Winrate,50.85% Winrate,50.27% Winrate,50.03% Winrate,45.89% Winrate,46.24% Winrate
90 CV // 0 RT,98.13% Winrate,82.08% Winrate,70.41% Winrate,66.79% Winrate,58.78% Winrate,58.68% Winrate,54.15% Winrate,54.1% Winrate,54.02% Winrate,49.26% Winrate,50.01% Winrate,50.0% Winrate,45.29% Winrate
100 CV // 0 RT,99.04% Winrate,84.95% Winrate,72.4% Winrate,66.0% Winrate,62.36% Winrate,58.0% Winrate,58.11% Winrate,53.99% Winrate,53.38% Winrate,54.08% Winrate,49.09% Winrate,50.42% Winrate,49.26% Winrate
110 CV // 0 RT,99.46% Winrate,89.03% Winrate,76.81% Winrate,70.25% Winrate,66.7% Winrate,61.43% Winrate,57.63% Winrate,54.47% Winrate,54.05% Winrate,53.08% Winrate,54.31% Winrate,50.21% Winrate,48.65% Winrate
120 CV // 0 RT,99.78% Winrate,91.02% Winrate,79.74% Winrate,70.31% Winrate,66.42% Winrate,62.02% Winrate,58.82% Winrate,59.19% Winrate,54.47% Winrate,54.09% Winrate,54.66% Winrate,54.32% Winrate,49.99% Winrate
130 CV // 0 RT,99.84% Winrate,92.88% Winrate,82.83% Winrate,73.11% Winrate,65.99% Winrate,62.44% Winrate,62.66% Winrate,57.68% Winrate,58.52% Winrate,54.21% Winrate,52.95% Winrate,53.98% Winrate,54.48% Winrate
