Conversion Type,Duration
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 1000, Control: 85, Own Province: True",6.83
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 1000, Control: 85, Own Province: False",6.84
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 1000, Control: 90, Own Province: True",6.3
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 1000, Control: 90, Own Province: False",7.38
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 1000, Control: 95, Own Province: True",5.79
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 1000, Control: 95, Own Province: False",7.92
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 1000, Control: 100, Own Province: True",5.25
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 1000, Control: 100, Own Province: False",8.6
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 50000, Control: 85, Own Province: True",7.38
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 50000, Control: 85, Own Province: False",7.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 50000, Control: 90, Own Province: True",6.83
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 50000, Control: 90, Own Province: False",7.95
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 50000, Control: 95, Own Province: True",6.33
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 50000, Control: 95, Own Province: False",8.63
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 50000, Control: 100, Own Province: True",5.78
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 50000, Control: 100, Own Province: False",9.31
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 85, Own Province: True",7.9
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 85, Own Province: False",7.98
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 90, Own Province: True",7.35
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 90, Own Province: False",8.59
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 95, Own Province: True",6.85
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 95, Own Province: False",9.25
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 100, Own Province: True",6.31
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 100, Own Province: False",10.19
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 85, Own Province: True",8.59
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 85, Own Province: False",8.61
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 90, Own Province: True",7.97
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 90, Own Province: False",9.27
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 95, Own Province: True",7.38
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 95, Own Province: False",10.17
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 100, Own Province: True",6.82
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 100, Own Province: False",10.17
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 85, Own Province: True",9.23
