Conversion Type,% Chance of Failure
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 1000, Control: 85, Own Province: True",13.51
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 1000, Control: 85, Own Province: False",14.08
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 1000, Control: 90, Own Province: True",6.11
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 1000, Control: 90, Own Province: False",24.41
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 1000, Control: 95, Own Province: True",0.0
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 1000, Control: 95, Own Province: False",35.28
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 1000, Control: 100, Own Province: True",0.0
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 1000, Control: 100, Own Province: False",47.54
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 50000, Control: 85, Own Province: True",24.72
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 50000, Control: 85, Own Province: False",24.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 50000, Control: 90, Own Province: True",13.67
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 50000, Control: 90, Own Province: False",34.92
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 50000, Control: 95, Own Province: True",6.27
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 50000, Control: 95, Own Province: False",47.59
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 50000, Control: 100, Own Province: True",0.0
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 50000, Control: 100, Own Province: False",60.04
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 85, Own Province: True",35.47
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 85, Own Province: False",34.82
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 90, Own Province: True",24.41
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 90, Own Province: False",48.12
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 95, Own Province: True",14.14
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 95, Own Province: False",61.59
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 100, Own Province: True",6.32
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 100, Own Province: False",74.08
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 85, Own Province: True",48.3
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 85, Own Province: False",47.93
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 90, Own Province: True",34.57
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 90, Own Province: False",61.36
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 95, Own Province: True",24.32
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 95, Own Province: False",74.2
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 100, Own Province: True",14.23
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 100, Own Province: False",73.82
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 85, Own Province: True",61.02
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 85, Own Province: False",60.87
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 90, Own Province: True",47.58
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 90, Own Province: False",73.69
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 95, Own Province: True",34.0
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 95, Own Province: False",74.26
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 100, Own Province: True",24.19
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 100, Own Province: False",74.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 85, Own Province: True",74.01
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 85, Own Province: False",73.88
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 90, Own Province: True",61.04
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 90, Own Province: False",74.22
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 95, Own Province: True",48.95
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 95, Own Province: False",73.58
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 100, Own Province: True",35.73
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 100, Own Province: False",74.13
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 85, Own Province: True",73.9
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 85, Own Province: False",73.88
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 90, Own Province: True",74.46
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 90, Own Province: False",72.99
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 95, Own Province: True",62.3
