,Maximum Siege Duration,Average Siege Duration,Minimum Siege Duration,Average Besiegers Casualties,Average Defenders Casualties
Holdfast Size 1,7,3.1,1,0.0%,20.08%
Holdfast Size 2,9,3.4,2,0.52%,22.31%
Holdfast Size 3,9,3.7,2,0.56%,23.19%
Holdfast Size 4,11,4.0,2,0.71%,24.18%
Holdfast Size 5,12,4.3,2,0.76%,24.9%
Holdfast Size 6,13,4.6,2,1.08%,25.69%
Holdfast Size 7,15,5.0,2,1.21%,26.81%
Holdfast Size 8,18,5.5,2,1.47%,27.9%
Holdfast Size 9,21,6.1,2,1.64%,28.93%
Holdfast Size 10,20,6.8,3,2.1%,29.88%
