,Maximum Siege Duration,Average Siege Duration,Minimum Siege Duration,Average Besiegers Casualties,Average Defenders Casualties
Outer Walls DV 1.5 // Holdfast Size 1,8,4.7,2,0.0%,27.08%
Outer Walls DV 1.5 // Holdfast Size 2,9,4.8,3,0.03%,27.9%
Outer Walls DV 2 // Holdfast Size 1,11,4.9,3,0.52%,28.02%
Outer Walls DV 2 // Holdfast Size 2,10,5.0,3,0.52%,28.71%
Outer Walls DV 2 // Holdfast Size 3,11,5.1,3,0.52%,29.5%
Outer Walls DV 2 // Holdfast Size 4,10,5.2,3,0.53%,30.35%
Outer Walls DV 3 // Holdfast Size 1,10,5.1,3,0.55%,28.35%
Outer Walls DV 3 // Holdfast Size 2,12,5.2,3,0.55%,28.99%
Outer Walls DV 3 // Holdfast Size 3,11,5.3,3,0.55%,29.61%
Outer Walls DV 3 // Holdfast Size 4,11,5.4,3,0.56%,30.47%
Outer Walls DV 3 // Holdfast Size 5,13,5.5,3,0.56%,31.3%
Outer Walls DV 4 // Holdfast Size 1,13,5.3,3,0.72%,28.61%
Outer Walls DV 4 // Holdfast Size 2,12,5.4,3,0.71%,29.29%
Outer Walls DV 4 // Holdfast Size 3,12,5.5,3,0.71%,29.9%
Outer Walls DV 4 // Holdfast Size 4,13,5.6,3,0.71%,30.53%
Outer Walls DV 4 // Holdfast Size 5,13,5.7,3,0.71%,31.34%
Outer Walls DV 4 // Holdfast Size 6,14,5.8,3,0.75%,32.24%
