,100 CV // 80 RT,100 CV // 50 RT,100 CV // 0 RT,200 CV // 80 RT,200 CV // 50 RT,200 CV // 0 RT,300 CV // 80 RT,300 CV // 50 RT,300 CV // 0 RT,400 CV // 80 RT,400 CV // 50 RT,400 CV // 0 RT,500 CV // 80 RT,500 CV // 50 RT,500 CV // 0 RT,600 CV // 80 RT,600 CV // 50 RT,600 CV // 0 RT,700 CV // 80 RT,700 CV // 50 RT,700 CV // 0 RT
100 CV // 80 RT,49.44% Winrate,24.52% Winrate,6.78% Winrate,33.81% Winrate,11.76% Winrate,1.86% Winrate,20.59% Winrate,4.28% Winrate,0.28% Winrate,11.41% Winrate,1.19% Winrate,0.01% Winrate,5.41% Winrate,0.38% Winrate,0.0% Winrate,2.67% Winrate,0.04% Winrate,0.0% Winrate,1.13% Winrate,0.01% Winrate,0.0% Winrate
100 CV // 50 RT,74.97% Winrate,50.04% Winrate,20.5% Winrate,56.76% Winrate,26.71% Winrate,5.66% Winrate,37.09% Winrate,10.47% Winrate,1.02% Winrate,20.69% Winrate,3.49% Winrate,0.13% Winrate,10.81% Winrate,0.87% Winrate,0.0% Winrate,4.81% Winrate,0.16% Winrate,0.0% Winrate,1.92% Winrate,0.01% Winrate,0.0% Winrate
100 CV // 0 RT,92.63% Winrate,78.48% Winrate,50.19% Winrate,79.99% Winrate,52.56% Winrate,19.07% Winrate,58.76% Winrate,25.38% Winrate,3.99% Winrate,36.74% Winrate,8.52% Winrate,0.64% Winrate,19.72% Winrate,2.26% Winrate,0.03% Winrate,8.93% Winrate,0.54% Winrate,0.0% Winrate,3.65% Winrate,0.05% Winrate,0.0% Winrate
200 CV // 80 RT,65.93% Winrate,43.37% Winrate,19.34% Winrate,65.62% Winrate,43.43% Winrate,19.89% Winrate,56.69% Winrate,31.97% Winrate,10.98% Winrate,50.23% Winrate,25.13% Winrate,6.96% Winrate,40.7% Winrate,16.75% Winrate,3.47% Winrate,33.78% Winrate,11.73% Winrate,1.73% Winrate,25.2% Winrate,6.21% Winrate,0.54% Winrate
200 CV // 50 RT,88.87% Winrate,73.28% Winrate,46.78% Winrate,88.16% Winrate,72.7% Winrate,47.96% Winrate,81.85% Winrate,59.15% Winrate,30.77% Winrate,74.83% Winrate,50.01% Winrate,21.06% Winrate,64.47% Winrate,35.45% Winrate,10.72% Winrate,56.56% Winrate,26.26% Winrate,6.04% Winrate,44.66% Winrate,16.59% Winrate,2.22% Winrate
200 CV // 0 RT,98.21% Winrate,93.56% Winrate,80.77% Winrate,98.26% Winrate,94.09% Winrate,80.05% Winrate,95.82% Winrate,86.11% Winrate,63.9% Winrate,93.03% Winrate,79.2% Winrate,49.7% Winrate,85.95% Winrate,63.41% Winrate,29.9% Winrate,79.88% Winrate,51.66% Winrate,19.95% Winrate,67.82% Winrate,35.64% Winrate,8.82% Winrate
300 CV // 80 RT,78.92% Winrate,64.06% Winrate,41.03% Winrate,59.5% Winrate,35.56% Winrate,13.56% Winrate,59.22% Winrate,34.67% Winrate,13.55% Winrate,54.01% Winrate,27.75% Winrate,8.4% Winrate,47.49% Winrate,21.87% Winrate,5.08% Winrate,43.47% Winrate,18.55% Winrate,3.86% Winrate,37.34% Winrate,13.47% Winrate,2.07% Winrate
300 CV // 50 RT,95.61% Winrate,89.2% Winrate,74.61% Winrate,84.03% Winrate,64.46% Winrate,36.1% Winrate,84.0% Winrate,64.74% Winrate,37.22% Winrate,78.67% Winrate,55.23% Winrate,26.14% Winrate,71.6% Winrate,44.13% Winrate,16.86% Winrate,68.17% Winrate,39.08% Winrate,13.52% Winrate,60.43% Winrate,30.4% Winrate,8.46% Winrate
300 CV // 0 RT,99.7% Winrate,98.81% Winrate,95.66% Winrate,96.67% Winrate,89.65% Winrate,69.88% Winrate,96.67% Winrate,89.38% Winrate,69.6% Winrate,94.26% Winrate,82.46% Winrate,56.14% Winrate,91.04% Winrate,74.38% Winrate,42.77% Winrate,88.73% Winrate,69.43% Winrate,35.85% Winrate,83.6% Winrate,58.9% Winrate,24.67% Winrate
400 CV // 80 RT,88.3% Winrate,78.83% Winrate,63.52% Winrate,66.86% Winrate,43.23% Winrate,19.53% Winrate,57.42% Winrate,31.36% Winrate,11.02% Winrate,56.68% Winrate,31.46% Winrate,11.49% Winrate,50.76% Winrate,24.66% Winrate,7.25% Winrate,46.25% Winrate,21.55% Winrate,5.53% Winrate,43.02% Winrate,18.45% Winrate,4.22% Winrate
